english,twi
onward,anim
ooze,nwunu
onus,asodie
operate,di dwuma
operation,dwumadie
openness,ayamyi
oil,ngo
ointment,atwiduro
okra,nkuruma
omit,yi firi mu
omen,nsɛnkyerɛnne
obstacle,akwansideɛ
omission,deɛ wɔayi no afiri mu
omnipotent,otumfoɔ
omniscient,deɛ ɔnim adeɛ nyinaa
observe,hwɛ
obsolete,deɛ atwam
obstinate,deɛ ɔnte asɛm ase
obstruct,si kwan
obstruction,akwansideɛ
obtain,nya
obviate,yi akwansideɛ
obvious,fann
occasion,berɛ pɔtee bi
occult,tumi bɔne
occupation,adwuma
occupy,tena mu
occur,si
objective,botaeɛ
odour,nkabɔne
offal,ayamdeɛ
offence,mmaratoɔ
offend,fom
offer,ma
offertory,ntoboa
obligatory,asɛdeɛ
obliterate,popa
obedient,deɛ n aso yɛ mmerɛ
oblige,hyɛ
obligation,ahyɛdeɛ
obedience,osetie
oblation,afɔrebɔdeɛ
oak,odum
obscene,ɛho nte
nymph,ɔbosombaa
oar,tabono
oath,ntam
obeisance,obuo
obese,obolobo
obesity,kɛseyareɛ
nuisance,atantanneɛ
obey,di so
numb,titiritii
number,nɔma
numerous,dodoɔ
nowadays,nnansa yi
nowhere,baw
nun,ɔbaa hotefoɔ
nuptial,awaresɛm
nursery,nkwadaa nkwadaa sukuu
nurture,tete
novice,abɛɛfo
nutritious,deɛ nnuaneduro wɔ mu
nudity,adagya
nothing,hwee
noxious,awudideɛ
nice,ɛyɛ fɛ
nubile,deɛ ne ho yɛ akɔnnɔ
nonsense,nkwaseasɛm
normal,ɛtene
nonentity,hohwini
notable,titire
nightmare,daeɛhuuhu
notify,bɔ nkaeɛ
notification,nkaebɔ
noble,onimuonyamfoɔ
nickname,mmrane
niggardly,deɛ ne nsam yɛ den
nightingale,kwaasansam
nimble,harehare
nobody,nipahunu
nil,hwee
nipple,nufoɔ ano
other,foforɔ
outlet,doroben
sitthere,tena hɔ
ostracize,twa asu
outnumber,yɛ bebree sene
overpower,di so
outlive,nyini sene ɔfoforɔ
outright,korakorakora
overwhelm,bɔ pusa
ovulate,to kosua
outsider,abɔntensoni
ox,nantwibedeɛ
outrage,abufuhyew
repeat,ti mu
owe,de ka
renew,toa so
repetition,ntimu
reparation,nsiesie
repose,ahomegyeɛ
repository,korabea
reproof,nkaanim
represent,gyina anan mu
reproach,bu so
repress,hyɛ so
reproduce,wo
reprove,twi anim
republic,kwasafoman
renounce,pa
repudiate,po
renovate,siesie
renovation,nsiesie
renouncement,akyiripa
rent,ɛdan ka
repair,siesie
repay,tua ka
repatriate,pamo
repeal,twa mu
remind,kae
remit,mane sika
remittance,amanedeɛ
remonstrate,yi atɛn
remote,akyirikyiri
remunerate,tua ka
remuneration,akatua
rend,tete mu
render,yɛ
religion,ɔsom
rendezvous,nhyiamubea
reliable,ahotɔsoɔ wɔ mu
remark,ka
relief,akomatɔyam
relieve,yi adesoa firi
relinquish,gyae mu
rely,de ho to so
reliance,ahotɔsoɔ
remain,ka
remedy,ano aduro
rejoin,sane dɔm
relax,gye ahome
rein,nnarekahoma
reinforcement,mmagum
relate,de toto ho
replace,hyɛ anan mu
relation,abusua
relationship,abusuabɔ
relegate,twe kɔ akyire
relaxation,ahomegyeɛ
release,gyae deduane
own,wɔ
repent,sakra
replenish,hyɛ ma bio
reply,yi ano
replica,sɛso
report,amanneɛ
reporter,amannebɔfoɔ
rejoice,di ahurusie
reimburse,tua ka
reinforce,hyɛ mu kena
reinstate,de dibea sane ma
reiterate,ti mu
overrule,bu so
overseer,ɔhwɛsofoɔ
overseas,amannɔne
oversight,anifasoɔ
oversleep,da boro so
overtake,pa ho
overthrow,tu gu
overturn,butu
overweight,ɛyɛ duru boro so
overcome,di so nkonim
overdo,yɛ boro so
overdraw,yi boro so
overflow,yiri
overestimation,butrasoɔ
overhaul,tutu siesie
overhear,twa asom
overlook,bu ani gu so
overjoyed,ani agye aboro so
overnight,anadwo mu nyinaa
outspoken,deɛ ɔka n adwene
outstanding,adutwam
outward,abɔntene
outweigh,yɛ duru sene
comehere,bra ha
outwit,daadaa
ovation,ose
ovary,ɔbaa nkosua kotokuo
overhead,atifi
overawe,ma obi ho dwiri no
outsize,kakraa
outskirts,kurotia
out,abɔntene
gothere,kɔ hɔ
outbid,ma boɔ sene ɔfoforɔ deɛ
outclass,bɔ mmɔden sene ɔfoforɔ
outcome,awieeɛ
outcry,nteamu
outdistance,gya akyirikyiri
outdoors,aboboano
outlast,kyɛre sene foforɔ
repugnant,akyiwadeɛ
repulse,pamo
reserve,kora
resent,kyiri
retrieve,gye
resort,toa
respective,biara
restitution,nsiananmu
rise,sɔre
rural,akuraase
return,san
reunion,nkabom
revoke,twe sane
ripe,abere
revote,to aba bio
ruthless,otirimuɔdenfoɔ
risk,asiane
robe,batakari
sabotage,hyɛ da sɛe
ruse,nnaadaa
rush,pere
rust,we nnaakyene
rule,mmara
ruler,susudua
sabbath,homeda
sabbatical,suapɔn mu adwumayɛfoɔ ahomegyeberɛ
sabre,afena
sack,bɔtɔ
rudiment,mfitiasedeɛ
ruin,ɔsɛeɛ
rue,nu ho
rummage,hwete
rumour,huhuhuhu
rumpus,basabasayɔ
rumple,pompono
rupture,pae
robust,ɔsi pi si ta
rod,abaa
rock,ɔbotan
roof,kyɛnsedan
rodent,akura
rogue,ɔsatufoɔ
roll,bobɔ
role,dibea
romance,ɔdɔdie
rough,twitwiritwitwiri
root,nhini
room,ɛdan
round,kurukuruwa
rouse,nyane
routine,nhyehyɛeɛ
road,ɛkwan
row,santene
rove,kyini
rubbish,nwira
rub,twi
ringleader,ɔkɔtwebrɛfoɔ
roar,bobom
rob,wia
roast,toto
robber,ɔkorɔmfoɔ
robbery,korɔno
rife,abu so
rifle,etuo
rigid,mintimm
rile,hyɛ abufuo
rider,ɔpɔnkɔkafoɔ
rinse,samforo
ring,kawa
ringworm,ɛyam
riot,basabasayɔ
riddle,aborɔme
rip,suane mu
revolve,twa ho hyia
revolver,kɔdiawuo
reward,abasobɔ
rib,mfe mpadeɛ
ribbon,bamma
rid,yi firi hɔ
ride,twi
reverse,dane
reverie,daeɛ
review,pɛnsɛnpɛnsɛn mu
revise,sakra mu
revile,sopa
revision,nsesamu
revenge,bɔne so akatua
revolution,atuateɛ
revolt,te atua
revive,ma ɛte apɔ
revival,nkanyan
reveal,yi kyerɛ
revel,gye ani
revelation,oyikyerɛ
reverence,obuo
revenue,mfasoɔ
revere,bu
retain,sɔ mu
retaliate,tua so ka
retard,twe sane
retire,kɔ ahomegyeɛ mu
retirement,ahomegyeɛberɛ
retort,yi ano
retract,twe san
retouch,siesie
retreat,sane
result,aba
restrain,si ho kwan
retribution,asotwe
restraint,akwansie
restrict,si ho kwan
respond,bua
restriction,akwansideɛ
responsible,deɛ biribi hyɛ ne nsa
resume,firi aseɛ bio
resurrect,nyane firi owuo mu
resurrection,owusɔreeɛ
retail,di bodwowabodwowa dwa
respire,home
respiration,home
response,mmuaeɛ
responsibility,asodie
rest,home
restaurant,adidibea
reservoir,baka
reshuffle,sesa dibea
residence,atenaeɛ
residue,nkaeɛ
resign,dane to hɔ
resist,si ho kwan
resolve,siesie
reputation,din
request,srɛ
require,hia
requirement,ahiadeɛ
resilient,otim deɛ otim
requite,tua ka
rescind,twe san
research,hwehwɛ mu
rescue,gye
salary,akatua
satan,twi translation of satan
sacred,kronkron
saint,ɔkronkronni
sagacious,deɛ ɔwɔ nyansa
sample,nhwɛsoɔ
scene,twi translation of scene
scent,twi translation of scent
sceptic,twi translation of sceptic
scour,twi ho
scramble,pere ho
scrap,esini
scrape,werɛ
seal,nsɔano
serial,ntoasoɔ ntoasoɔ
seer,nkɔmhyɛni
seraph,ɔsorobɔfoɔ
seminar,ɔkyerɛsua
seep,fa mu
serene,dwoo
serious,ɛhia adwennwene
sermon,asɛmpa
serpent,ɔwɔ
servant,akoa
serve,som
session,nhyiamu
set,siesie
seminary,asɔfoɔ sukuu
send,soma
senior,opanin
sensation,atenka
sensational,ɛgye ntrɛha
sensitive,deɛ ne bo nkyɛre fu
separation,ntetemu
separate,te mu
self,me
sequence,nnidisoɔ
segregate,te mu
segregation,ntetemu
seize,sɔ mu
selection,nyiyimu
select,yi
semantic,asekyerɛ
semen,ahobaeɛ
seed,aba
section,ɔfa
secure,bɔ ho ban
secular,wiase
security,ahobammɔ
sedative,anikum
sedition,atuateɛ
seduce,daadaa
seek,hwehwɛ
seem,yɛ sɛ
scroll,mmobɔeɛ nwoma
scrotum,hwoa
scrub,twitwi
scrutinize,hwehwɛ mu yie
scuffle,ntɔkwa
scrutiny,mfeefeemu
search,hwehwɛ
sculptor,ɛboɔ dwomfoɔ
scum,efi
secret,ahintasɛm
scurf,ɛhoa
scurrilous,dinsɛeɛ
seam,anobuo
seamstress,adepamni
season,berɛ
seat,adwa
scribe,ɔtwerɛfoɔ
secede,twe ho firi
secretary,ɔtwerɛtwerɛni
sect,ɔfa
scratch,werɛ
scream,tea mu
screen,ani
scribble,twerɛ
scripture,n asɛm
scintillate,twi translation of scintillate
scoff,tweetwee
scold,twi anim
scoop,te
scoot,kɔ hɔ ntɛm
scope,botaeɛ
scorch,hye
scotfree,fa ho di
scorn,bu animtia
scoundrel,nipabɔnefoɔ
sceptre,twi translation of sceptre
schedule,twi translation of schedule
shield,twi translation of shield
schism,twi translation of schism
scholar,twi translation of scholar
science,twi translation of science
scientific,twi translation of scientific
sanctify,te ho
sarcasm,akutia
sanctification,nteho
sanctuary,kronkronbea
scabies,twi translation of scabies
sand,anwea
sandal,mpaboa
sane,adwene mu da hɔ
scalp,twi translation of scalp
scandal,twi translation of scandal
sanity,anidahɔ
scarecrow,twi translation of scarecrow
sap,afifideɛ mu nsuo
scale,twi translation of scale
scaffold,twi translation of scaffold
scanty,twi translation of scanty
scar,twi translation of scar
scarf,twi translation of scarf
satchel,twi translation of satchel
satisfy,twi translation of satisfy
scarlet,twi translation of scarlet
saviour,twi translation of saviour
satisfaction,twi translation of satisfaction
saline,nkyenenkyene
saturate,twi translation of saturate
sauce,twi translation of sauce
saucepan,twi translation of saucepan
saunter,twi translation of saunter
sale,adetɔn
scabbard,twi translation of scabbard
salient,titire
salty,nkyenenkyene
salute,twa purusenn
salvation,nkwagyeɛ
same,pɛ
sacrifice,bɔ afɔreɛ
sage,onimdefoɔ
sacrilege,gu ho fi
sacrificial,afɔrebɔ
sacrosanct,deɛ wɔntoto n ase
sad,werɛ aho
safe,akoradeɛ
saddle,ɔpɔnkɔ atɛ
safeguard,ahobammɔ
settle,siesie
shock,twi translation of shock
shrine,twi translation of shrine
sever,twa firi hɔ
several,bebree
shake,woso
shed,apata
shirk,twi translation of shirk
shiver,twi translation of shiver
shrink,twi translation of shrink
shroud,twi translation of shroud
sniff,twi translation of sniff
sip,twi translation of sip
sink,twi translation of sink
slim,twi translation of slim
slight,twi translation of slight
slide,twi translation of slide
slip,twi translation of slip
snigger,twi translation of snigger
snip,twi translation of snip
smooth,twi translation of smooth
snore,twi translation of snore
snout,twi translation of snout
snow,twi translation of snow
snuff,twi translation of snuff
snub,twi translation of snub
soak,twi translation of soak
snuffbox,twi translation of snuffbox
smother,twi translation of smother
smoulder,twi translation of smoulder
smuggle,twi translation of smuggle
sneeze,twi translation of sneeze
snag,twi translation of snag
snare,twi translation of snare
snatch,twi translation of snatch
smallpox,twi translation of smallpox
sneer,twi translation of sneer
smart,twi translation of smart
sluggard,twi translation of sluggard
sneak,twi translation of sneak
slumber,twi translation of slumber
slur,twi translation of slur
sly,twi translation of sly
smash,twi translation of smash
smear,twi translation of smear
smirch,twi translation of smirch
smock,twi translation of smock
slippery,twi translation of slippery
slipper,twi translation of slipper
slobber,twi translation of slobber
slander,twi translation of slander
slogan,twi translation of slogan
slope,twi translation of slope
slot,twi translation of slot
slice,twi translation of slice
skirt,twi translation of skirt
sky,twi translation of sky
sir,twi translation of sir
slack,twi translation of slack
slaughter,twi translation of slaughter
slavery,twi translation of slavery
slender,twi translation of slender
sleepiness,twi translation of sleepiness
sleepy,twi translation of sleepy
site,twi translation of site
siren,twi translation of siren
sizeable,twi translation of sizeable
skeleton,twi translation of skeleton
skill,twi translation of skill
silent,twi translation of silent
silk,twi translation of silk
skip,twi translation of skip
skirmish,twi translation of skirmish
signify,twi translation of signify
sin,twi translation of sin
silence,twi translation of silence
siesta,twi translation of siesta
simple,twi translation of simple
simpleton,twi translation of simpleton
simplify,twi translation of simplify
simultaneous,twi translation of simultaneous
side,twi translation of side
single,twi translation of single
siege,twi translation of siege
sift,twi translation of sift
sigh,twi translation of sigh
sign,twi translation of sign
sight,twi translation of sight
shun,twi translation of shun
signature,twi translation of signature
signal,twi translation of signal
shutup,twi translation of shut up
keepquiet,twi translation of keep quiet
significant,twi translation of significant
shy,twi translation of shy
shudder,twi translation of shudder
shuffle,twi translation of shuffle
shop,twi translation of shop
shower,twi translation of shower
shut,twi translation of shut
shoot,twi translation of shoot
shove,twi translation of shove
shriek,twi translation of shriek
shred,twi translation of shred
shelf,akoradeɛ
shrimp,twi translation of shrimp
sheet,krataa
shell,abena
shelter,dwanekɔbea
shepherd,odwanhwɛfoɔ
shift,twi translation of shift
shilling,twi translation of shilling
shallow,emu nnɔ
shine,twi translation of shine
ship,twi translation of ship
sham,nnaadaa
sheabutter,nkuto
shank,ɛnan
shape,yɛbea
sharp,ɛyɛ nnam
shatter,bobɔ
shawl,akatakɔmmu
sheath,bɔha
severe,den
severity,anoden
sew,pam
shabby,basabasa
shackle,mpokyerɛ
shade,onwunu
shadow,sunsum
soar,twi translation of soar
sorcerer,bayifoɔ
sparrow,akasanoma
spoil,sɛe
sob,twi translation of sob
sound,nnyegyeɛ
sour,ɛkeka
source,etire
spectator,bɛhwɛadeni
spectacle,anisoadeɛ
spectre,ɔsaman
spokesman,ɔkasamafoɔ
spokesperson,ɔkasamafoɔ
spokeswoman,ɔkasamafoɔ
stack,hyehyɛ
stamina,ahoɔden
stammerer,deɛ ɔpo dodoɔ
stammer,po dodoɔ
statute,mmara
stay,tena
dj,nnwombɔfoɔ
disk,apaawa
statutory,mmara tare akyire
cd,apaawa
steady,pintinn
steam,ntutuo
steadfast,pintinn
steamer,owisihyɛn
state,ka
statesman,okunini
stateumbrella,bamkyiniiɛ
static,ɛgyina faako
station,tenabea
stationery,atwerɛ ho nneɛma
statue,ohoni
stationary,ɛgyina faako
stature,tenten
status,dibea
start,hyɛ aseɛ
stadium,agopramma so
staff,adwumayɛfoɔ
stamp,tim
standing,dibea
stage,berɛ
starch,setaakye
stare,hwɛ hann
startle,bɔ birim
starve,kyene kɔm
stag,ɔforoteɛ
stain,yɛ ho fi
stagnant,ɛtaa faako
stale,anyinya
stallion,ɔpɔnkɔnini
squabble,akasa akasa
stalwart,ɔnokwafo
squad,nnipakuo
squander,di
squeak,yɛ dede
squeal,tea mu
squeeze,mia
squint,nyam
stab,wɔ sekan
squib,ɔsramamma
stable,apɔnkɔdan
sprain,hwan
spread,sɛ
spray,gugu so
spring,huri
sprinkle,pete
sprint,tu ammirika
sprout,fefɛ
spume,ahuro
spurn,po
spot,baabi
spy,tɛ
sponsor,akagyinamdifoɔ
sponsorship,akagyinamu
spontaneous,mpofirim
sport,agorɔ
spouse,ɔyere
spleen,tan
spew,pu
spill,hwie gu
spin,kyim
spiritual,deɛ ɛfa sunsum mu adeɛ ho
spite,ahi
spittle,ntasuo
splash,pete
split,kyɛ mu
splendid,fɛɛfɛ
speculate,bɔ srɛ mu ka
speculation,bɔsrɛmuka
speech,ɔkasa
speed,ahoɔhare
spell,bobɔ asɛmfua bi mu atwerɛdeɛ mmaako mmaako
spend,di
spendthrift,sikasɛefoɔ
sparse,ahwete
spawn,to nkosua
spear,pea
special,ɛsom bo
specialist,biribi mu nimdefoɔ
specific,pɔtee
specify,bɔ din pɔtee
specimen,nhwɛsoɔ
speck,ntɛtɛ
souvenir,nkaedeɛ
sore,ɛyɛ ya
sovereign,ɔhene
space,ntam kwan
spaghetti,taalia
spade,sofi
spank,twa toɔ
drunkard,nsadweam
sparkle,hyerɛnn
sorcery,abayisɛm
drunk,aboro
sorethroat,menemu kuro
sorrow,awerɛhoɔ
sort,su
sot,nsadweam
solid,den
soul,ɔkra
solution,anoyie
solve,di ho dwuma wie
sombre,kusuu
somersault,akrayam
soon,animanim yi ara
society,fekuo
soot,wisiapunu
soothe,dwodwo
sophisticated,kuntann
soporific,ɛma anikum
sober,ani da hɔ
sociable,deɛ ɔpɛ nnipa
soccer,bɔɔlobɔ
soil,dɔteɛ
sojourn,atenaeɛ
solace,awerɛkyekyerɛ
solicit,bisa
stove,bokyea
sterile,krawa
stew,forɔeɛ
straight,ɛtene
strangle,mia kɔn
student,osukuuni
study,adesua
stinginess,ayamuɔnwono
stick,abaa
learning,adesua
style,ɔkwan
subtraction,ntefirimu
succumb,gyae mu
suffocate,tua home
suck,fe
supply,de ma
supercilious,ahomasoɔ
supper,anwummerɛ aduane
supplement,nkaho
support,taa akyire
supporter,okyitaani
suppress,twa so
surety,agyinamdifoɔ
sure,nokorɛ turodoo
supreme,kunini
superfluous,mmorosoɔ
surface,ani
superior,deɛ ne dibea wɔ soro
superiority,mpaninnie
superintendent,ɔhwɛfoɔ
supersede,de si anan mu
superstition,gyedihunu
supervise,hwɛ so
supervisor,ɔhwɛsofoɔ
supine,ayeya
sully,gu ho fi
sum,sika botene
summarise,bɔ tɔfa
summary,tɔfa
summer,ahuhuroberɛ
summersault,akrayam
summit,mpɔmpɔnsoɔ
summon,frɛ
sunder,te mu
suffocation,menesie
superb,ɛho twa
suffrage,abatoɔ mu akwannya
sullen,kusuu
suicide,ahokum
suggest,susu
suggestion,nsusuiɛ
suit,kootu
suitable,ɛsɛ
suckle,ma nufoɔ
suite,gyaasefoɔ
sudden,prɛko pɛ
suds,ahuro
suddenly,mpofirim
suffer,hunu amane
sue,saman
suffering,amanehunu
sufficient,ɛso
suburb,borɔno
subvert,butu
fitness,apɔmuden
substitution,ananmusie
emptyhanded,nsapan
subway,asase ase kwan
success,nkonim
succeed,di nkonim
succour,mmoa
submission,nnyetomu
succulent,ɛyɛ akɔnnɔ
cleanliness,ahonedie
internationalrelations,amanaman ntam nkutahodie
submit,brɛ ho ase
submissive,nea ɔbrɛ ne ho ase
subordinate,abadiakyire
representative,ananmusini
subscribe,de nsa hyɛ aseɛ
subject,asɛm
substitute,ananmusini
subchief,odikuro
subdue,ka hyɛ
stump,dunsini
cucumber,ɛferɛ
iamwell,me ho yɛ
subjugate,ka hyɛ
sublet,de han ɔfoforɔ
submerge,dɔ sukɔ
sublime,ɛkorɔn
stumble,hwinti
stress,si so dua
stun,biri ani so
sturdy,ɔsi pi si ta
stunt,tɔ ape
stutter,po dodoɔ
sty,prakodan
strenuous,ɛhia ahoɔden
stretch,twe
stretcher,mpa
stride,tu apɔnkɔnan
strife,ntɔkwa
strike,bɔ
string,ahoma
street,ɛkwan
strip,worɔ
structure,yɛbea
strength,ahoɔden
strategy,ɔkwan
straw,ɛserɛ
stray,fom kwan
stoop,bɔ mu ase
stream,asuwa
stop,gyae
stout,ɔkɛseɛ
strengthen,ma ahoɔden ba mu
stir,nu mu
stitch,pam
thread,ahoma
stool,adwa
stigma,aniwuo kam
goldenstool,sikadwa
storm,ahum
stiff,den
stifle,si mene
still,komm
sting,bɔ
stingy,ayamuɔnwono
steel,dadeɛ
stink,bɔn
steep,ntɛmtɛm
steer,kyinkyim
stench,nkabɔne
step,anammɔn
stepchild,abanoma
stepbrother,agya ba
stepmother,agya yere
stepsister,agya ba
swerve,mane
stepfather,ɛna kunu
surfeit,mmorosoɔ
surge,ntomu prɛko pɛ
surreptitious,kokoam
swelter,teetee
swift,ntɛm so
surround,twa ho hyia
sustain,kuta mu
suspicion,anibɔne
system,nhyehyɛeɛ
tank,akoradeɛ
tablecloth,ɛpono so tam
tap,twe
tar,kootaa
temptation,nsɔhwɛ
term,asɛmfua
tepid,dedɛɛdedɛɛ
terminate,wie
termination,nyinsɛnyiguo
terrify,bɔ hu
territory,ɛhyeɛ mu
terrorism,amammɔsɛm
terrorist,ɔmammɔni
terse,tiawa
terror,ehu
tempter,ɔsɔhwɛfoɔ
tenant,ɔdanhanfoɔ
tend,taa
tender,deɛ ɔwɔ dɔ
tendon,ntini
tenement,fihyia
tenet,gyedie
tent,ntomadan
tentative,ɛnsii pi
technical,nimdeɛ soronko
tedious,ɛyɛ den
teeth,ɛse
tooth,ɛse
temporal,wiase
temper,kokoɔ
temperance,anidahɔ
tempest,ahum
temporary,berɛ tiawa
tempt,sɔ hwɛ
tatters,deɛ ateteɛ
teaching,adekyerɛ
tattle,di nsekuro
taunt,kasa tia
tavern,nsatɔnbea
tax,ɛtoɔ
tea,tii
team,ekuo
tease,huro
teat,nufoɔ ano
taste,ɔdɛ
tardy,nyaa
target,botaeɛ
tariff,ɛtoɔ
tarnish,gu ho fi
tarry,twentwɛn so
task,dwuma
tail,dua
tale,ayɛsɛm
tailor,adepamni
talent,adom akyɛdeɛ
talisman,bansere
talkative,kasapɛfoɔ
tame,yɛn
tamper,de nsa ka
tangible,wɔtumi sɔ mu
tablet,ɛbopono
tangle,kyekyere
tabulate,hyehyɛ
taboo,akyiwadeɛ
tackle,si ano
tacky,tentann
tact,nyansa
tactic,ɛpɔ
tadpole,konkontiba
swoon,twa hwe
symbol,agyinahyɛdeɛ
syllable,asɛmfuafa
sympathize,hu mmɔbɔ
synagogue,mpaebɔfie
symptom,nsɛnkyerɛnneɛ
sympathy,mmɔborɔhunu
syndicate,fekuo
synod,asɔfoɔ nhyiamu
sway,him
swagger,nante dwaeɛ kwan so
syntax,akasamu nsɛmfua nhyehyɛeɛ
swallow2,mene
swamp,atɛkyɛ mu
swathe,kyekyere
swing,him
sweep,pra
swell,hono
swelling,pɔmpɔ
swiftly,ntɛm so
swine,prako
swim,dware
swoop,tu si so
sword,akofena
survival,nkwanya
symbolize,gyina hɔ ma
suspect,susu sɛ
survey,hwɛ
surveyor,osusufoɔ
survive,tena ase
survivor,owuo okyikafoɔ
surgeon,dɔkota a ɔyɛ opiresan
suspend,twe sensɛn
suspension,ɔsensɛn
surgery,opiresan
surly,kokobɔne
surmount,di so nkonim
surname,abusuadin
surpass,twa
surrender,gyae mu
surplus,mmorosoɔ
thankfulness,aseda
tilt,kyea
timber,timma
test,nsɔhwɛ
thaw,nane
thick,duru
thin,teaa
something,biribi
thumb,kokuromotie
tool,adwumayɛ dadeɛ
topic,nnyinasosɛm
thump,bɔ
titanic,kɛse pa ara
titillate,kanyan
toil,yɛ adwumaden
touch,sɔ mu
tough,ɛyɛ den
transfuse,ma mogya
transfigure,sesa
transform,sesa
transgress,bu mmara so
translate,kyerɛ aseɛ
transgression,mmaratoɔ
transgressor,mmaratoni
transient,ɛnkyɛre
trample,tiatia so
transition,nsesaeɛ
translation,nkyerɛaseɛ
trance,adetɔwoso
tranquil,dinn
tranquility,dinnyɛ
transact,yɛ
transaction,dwadie
tourism,nsrahwɛ
tower,abantenten
town,kuro
negotiate,di ano
negotiation,anodie
transcend,boro so
tradition,amanneɛ
transcribe,twerɛ
tour,nsrahwɛ
tournament,akansie
tow,twe
toxic,ɛboro
toy,abaduaba
trade,dwadie
traitor,oyimafoɔ
traduce,kasa tia
trader,odwadini
traffic,di sum ase dwa
tragedy,asiane
trail,anammɔn kwan
trait,su
topple,patere hwe
torment,teetee
trainer,deɛ ɔtete afoforɔ
tornado,ahum
torture,ayakayakadeɛ
toss,to
total,nyinaa
torch,ogyatɛn
totem,agyinahyɛdeɛ
token,agyinamudeɛ
tonight,anadwo yi
tolerate,gye tom saa ara
toll,ɛtoɔ
tomb,ɛnna
title,edin
tome,nwoma kɛseɛ
tone,ɛnne
tonic,aduro
togetherness,koroyɛ
too,dodo
toad,apɔnkyerɛne
toast,toto
tobacco,tawa
toddle,gye taataa
toffee,tɔfe
together,bɔ mu
timid,bɔtee
tin,konko
tingle,femfɛm
tip,ano
tipsy,deɛ waboro nsa
till,kɔpem
timidity,ehu
tiptoe,tutu nan mmaako mmaako
thunder,agradaa
thwart,si obi kwan
tight,pampee
launch,pa ho ntoma
ticket,tekiti
tickle,nunu
tide,asorɔkye
tidy,ɛho te
tighten,mia mu
threaten,bɔ kɔkɔ
thresh,tutu
thrift,sikadie mu ahwɛyie
thrill,anigyeɛ
thrive,tu mpɔn
throb,bɔ
throe,ɛyeaa
throne,ahennwa
thrust,pia wura mu
thirst,nsukɔm
thorn,nsɔeɛ
yawn,hram
hiccup,kɔterekɔ
thought,adwene
thrash,bo
threat,ahunahuna
theatre,agodibea
theft,korɔno
thievery,korɔno
theme,nnyinasosɛm
theocracy,asɔfoɔ amammuo
theology,nyamesɛm
therapy,ayaresa
healthcare,ayarehwɛ
testament,nsamanseɛ
thanksgiving,aseda
testimony,adanseɛ
testimonial,adansedie krataa
teteatete,kokoam nkɔmmɔ
textile,ntoma
thatch,kuru so
thank,da ase
testify,di adanseɛ
transparent,ahwɛanimhunuakyire
transpire,da adi
transplant,tu tim
transport,soa kɔ
tree,dua
guess,bɔ srɛ mu ka
trek,akwantuo
forgetfulness,awerɛfire
forget,werɛ firi
sempoa,two and a half pesewas
disrespect,animtia
trickster,ɔdaadaafoɔ
trickle,sosɔ
triennial,ɛsi mfeɛ mmiɛnsa mmiɛnsa
tumour,ahonhono
tumbler,tɔmmɛ
tutor,ɔkyerɛkyerɛni
disquiet,ɔhaw
disrupt,sɛe
disruption,basabasayɔ
dissect,pae mu
disseminate,ma ɛhyeta
dissent,akasakasa
dissimulate,de sie
disservice,ɔhaw
dissipate,yera
dispatch,soma
dispel,ma ɛyera
dispensary,nnufraeɛbea
typewriter,atintim fidie
dispense,kyɛ
disperse,hwete
typist,otintimfoɔ
display,yi adi
displace,yi firi ne gyinabea
dispute,ntawantawa
tyranny,atirimuɔden amammuo
disqualify,yi firi mu
disrobe,yi atadeɛ
disparity,nsonsonoeɛ
turtle,osudanna
tyre,tae
tyrant,otirimuɔdenfoɔ
twist,kyim
deprivation,ohia
disorder,basabasayɔ
twitch,woso
disown,po
twaddle,ntoatoa
twinge,ɛyeaa
twine,ahoma
twinkle,hyerɛnn
tycoon,osikani
type,su
tumult,gyegyeegye
tunnel,asase ase kwan
turkey,kurokurokoko
turban,abɔtire
turbid,tunkumm
turmoil,basabasayɔ
tusk,asommɛn
tussle,apereapere
truncheon,aporibaa
trunk,abena
trust,de werɛ hyɛ mu
try,sɔ hwɛ
tube,dorobɛn
tuberculosis,nsamanwa
trouble,ɔhaw
tug,twe
tuition,adekyerɛ
tumble,hwe ase
tummy,yafunu
troop,asraafoɔ
trophy,abasobɔdeɛ
trot,tu ammirika
trip,patere
truant,ɔkobɔfoɔ
troupe,agodifoɔ kuo
truce,asomdwoeɛ apam
trumpet,totorobɛnto
truculent,ntɔkwapɛfoɔ
truncate,twa so
triple,mmɔho mmiɛnsa
triplicate,nsɛsoɔ mmiɛnsa
trisect,kyɛ mu mmiɛnsa
trite,atwam
triumph,nkonim
trinity,onyame baasakoro
trivial,ɛho nhia
dishes,nkukuo
trick,nnaadaa
trespass,fom kɔ obi asase so
trifle,adewa
trim,twitwa so
down,ɛfam
up,ɛsoro
tremble,woso
trench,amena donkudonku
treacherous,ɔdaadaafoɔ
trial,asɛnnie
tribe,abusuakuo
tribulation,amanehunu
tribunal,asɛnnibea
traveller,ɔkwantuni
traverse,bɔ aporɔ
tribute,ayɛyideɛ
tread,nante
treachery,nkontompo
treasure,aboɔdenneɛ
treasurer,sika korafoɔ
treasury,ɔman sika
trash,nwira
treat,yɛ
treaty,apam
trap,afidie
transpose,di nsesa
transposition,nsesadie
trapper,ofidisumfoɔ
transverse,ɛbea mu
distress,ɔhaw
dissociate,te mu
distance,ɛkwan
dissolve,nane
